Designator,Mid X,Mid Y,Rotation,Layer
C1,209.0928,-53.5686,180.0,top
C10,218.4908,-54.1274,0.0,top
C11,214.4014,-51.3588,90.0,top
C12,217.7288,-53.1368,0.0,top
C15,210.058,-34.4932,180.0,top
C16,210.5152,-40.4876,180.0,top
C17,209.8167,-65.6686,270.0,top
C18,215.5063,-65.595,90.0,top
C2,215.5063,-63.6926,270.0,top
C3,216.5223,-63.6926,270.0,top
C4,219.7608,-58.8772,0.0,top
C5,207.927,-58.8264,180.0,top
C6,214.3506,-49.1744,90.0,top
C7,211.983,-49.2466,180.0,top
C8,218.7448,-51.4122,90.0,top
C9,217.7542,-51.4122,90.0,top
J2,213.868,-74.8792,270.0,top
J3,213.9032,-28.3452,180.0,top
J6,205.0732,-51.0016,0.0,top
J7,222.7332,-51.0016,0.0,top
R3,216.7128,-51.4096,270.0,top
R4,215.4174,-51.3588,270.0,top
R5,210.0326,-49.2426,180.0,top
R6,214.0311,-63.4614,180.0,top
R7,211.9122,-46.99,180.0,top
R8,215.4936,-35.1028,270.0,top
R9,212.1408,-35.1028,270.0,top
SW1,213.995,-44.7548,0.0,top
U1,213.7696,-57.5903,90.0,top
U2,210.566,-37.592,270.0,top
U3,210.967,-51.0246,0.0,top
Y1,212.6615,-65.6458,180.0,top
