Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1uF,
"C11, C12, C2, C3, C4, C5, C6, C7, C8, C9",0402,10,0.1uF,
"C15, C16",0603,2,10uF,
"C17, C18",0402,2,33pF,
J2,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
"J6, J7",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
"R3, R4",0402,2,27,
R5,0402,1,10K,
"R6, R7",0402,2,1K,
"R8, R9",0402,2,5.1K,
SW1,SW_TS-1088-AR02016,1,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-23,1,MCP1700x-330xxTT,
U3,IC_W25Q16JVUXIQ_TR,1,W25Q16JVUXIQ_TR,
Y1,SMD_2MSB4SI_YXC,1,Crystal_GND24,
